,SVFNR,HEINUM,POSTNR,HEITI_NF,HEITI_TGF,HUSNR,NAKV_XY,HNIT,N_HNIT_WGS84,E_HNIT_WGS84,HUSMERKING,municipality,houses
75914,0,1004854,112.0,Fannafold,Fannafold,177.0,,POINT (363901 406938),64.13821638,-21.79605645,177,Reykjavík,"Fannafold 177, 112"
8300,0,1004855,112.0,Fannafold,Fannafold,178.0,,POINT (364134 406900),64.13796818,-21.79124141,178,Reykjavík,"Fannafold 178, 112"
75915,0,1004856,112.0,Fannafold,Fannafold,179.0,,POINT (363890 406920),64.13805071,-21.7962658,179,Reykjavík,"Fannafold 179, 112"
4259,0,1004722,112.0,Fannafold,Fannafold,18.0,,POINT (363546 406767),64.13654303,-21.80318446,18,Reykjavík,"Fannafold 18, 112"
8301,0,1004857,112.0,Fannafold,Fannafold,180.0,,POINT (364123 406924),64.13817889,-21.79148886,180,Reykjavík,"Fannafold 180, 112"
75916,0,1004858,112.0,Fannafold,Fannafold,181.0,,POINT (363876 406903),64.13789282,-21.7965376,181,Reykjavík,"Fannafold 181, 112"
93810,0,1164926,112.0,Fannafold,Fannafold,182.0,,POINT (364096.725 406942.956818),64.13833837,-21.79204515,182A,Reykjavík,"Fannafold 182, 112"
75917,0,1004860,112.0,Fannafold,Fannafold,183.0,,POINT (363901 406891),64.1377952,-21.79601378,183,Reykjavík,"Fannafold 183, 112"
8302,0,1004861,112.0,Fannafold,Fannafold,184.0,,POINT (364122 406967),64.13856383,-21.79154836,184,Reykjavík,"Fannafold 184, 112"
75918,0,1004862,112.0,Fannafold,Fannafold,185.0,,POINT (363911 406911),64.13797839,-21.79582676,185,Reykjavík,"Fannafold 185, 112"
8303,0,1004863,112.0,Fannafold,Fannafold,186.0,,POINT (364148.8057 406942.6899),64.1383566,-21.79097633,186,Reykjavík,"Fannafold 186, 112"
75919,0,1004864,112.0,Fannafold,Fannafold,187.0,,POINT (363923 406932),64.13817133,-21.79559962,187,Reykjavík,"Fannafold 187, 112"
8304,0,1004865,112.0,Fannafold,Fannafold,188.0,,POINT (364158 406938),64.13831821,-21.79078344,188,Reykjavík,"Fannafold 188, 112"
75920,0,1004866,112.0,Fannafold,Fannafold,189.0,,POINT (363939 406948),64.13832106,-21.79528587,189,Reykjavík,"Fannafold 189, 112"
4260,0,1004723,112.0,Fannafold,Fannafold,19.0,,POINT (363448 406804),64.13683561,-21.80522874,19,Reykjavík,"Fannafold 19, 112"
8305,0,1004867,112.0,Fannafold,Fannafold,190.0,,POINT (364183 406969),64.1386059,-21.79029859,190,Reykjavík,"Fannafold 190, 112"
8306,0,1004868,112.0,Fannafold,Fannafold,191.0,,POINT (363958 406955),64.13839132,-21.79490239,191,Reykjavík,"Fannafold 191, 112"
75921,0,1004869,112.0,Fannafold,Fannafold,192.0,,POINT (364165 406991),64.13879593,-21.79068785,192,Reykjavík,"Fannafold 192, 112"
8307,0,1004870,112.0,Fannafold,Fannafold,193.0,,POINT (363967 406910),64.13799163,-21.79467688,193,Reykjavík,"Fannafold 193, 112"
75922,0,1004871,112.0,Fannafold,Fannafold,195.0,,POINT (363964 406901),64.13790979,-21.79473027,195,Reykjavík,"Fannafold 195, 112"
8308,0,1004872,112.0,Fannafold,Fannafold,197.0,,POINT (363955 406888),64.13778973,-21.79490312,197,Reykjavík,"Fannafold 197, 112"
75923,0,1004873,112.0,Fannafold,Fannafold,199.0,,POINT (363950 406879),64.13770709,-21.79499754,199,Reykjavík,"Fannafold 199, 112"
6523,0,1004706,112.0,Fannafold,Fannafold,2.0,,POINT (363484 406746),64.13633019,-21.80443733,2,Reykjavík,"Fannafold 2, 112"
4261,0,1004724,112.0,Fannafold,Fannafold,20.0,,POINT (363524 406775),64.13660597,-21.80364309,20,Reykjavík,"Fannafold 20, 112"
